0/35, ---; 1;  0.000; 1; 1
1/35; (HU, C1); 2;  0.220; 1; 0, inf 
2/35; (H8, CU); 2;  0.692; 1; 1, inf 
3/35; (H10, CU); 4;  1.210; 2; 2, inf 
4/35; (H7, CU); 8;  1.282; 4; 0, inf 
5/35; (H4, C2); 8;  3638.313; 4; 1, 4033414.69 
6/35; (H8, C1); 10;  2801.178; 5; 2, 4033414.69 
7/35; (H10, C1); 14;  171.215; 7; 4, 4003142.39 
8/35; (H2, C2); 22;  4033.793; 11; 3, 4003142.39 
9/35; (H7, C1); 28;  0.895; 14; 0, 4003142.39 
10/35; (H6, CU); 28;  0.942; 14; 0, 4003142.39 
11/35; (H1, C1); 28;  0.893; 14; 0, 4003142.39 
12/35; (H11, C2); 28;  0.909; 14; 1, 4003142.39 
13/35; (H4, CU); 30;  156.848; 15; 15, 4003142.39 
14/35; (H3, C2); 60;  1.866; 30; 2, 4003142.39 
15/35; (H9, C2); 64;  1.913; 32; 0, 4003142.39 
16/35; (H5, CU); 64;  6494.318; 32; 5, 3905228.72 
17/35; (H6, C1); 74;  2.157; 37; 2, 3905228.72 
18/35; (H2, CU); 78;  280.345; 39; 20, 3905228.72 
19/35; (H11, CU); 118;  529.188; 59; 21, 3857717.27 
20/35; (H1, C2); 160;  3.722; 80; 0, 3857717.27 
21/35; (H3, CU); 160;  168.512; 80; 11, 3857717.27 
22/35; (H9, CU); 182;  4.501; 91; 3, 3857717.27 
23/35; (H10, C2); 188;  1.733; 36; 0, 3857717.27 
24/35; (H3, C1); 188;  1.556; 32; 0, 3857717.27 
25/35; (H9, C1); 188;  2.077; 44; 0, 3857717.27 
26/35; (H8, C2); 188;  1.447; 30; 0, 3857717.27 
27/35; (H2, C1); 188;  2.054; 43; 0, 3857717.27 
28/35; (H4, C1); 188;  2.284; 47; 0, 3857717.27 
29/35; (H11, C1); 188;  3.152; 67; 0, 3857717.27 
30/35; (H5, C2); 188;  4.075; 94; 0, 3857717.27 
31/35; (H5, C1); 188;  4.081; 94; 0, 3857717.27 
32/35; (H6, C2); 188;  0.142; 3; 0, 3857717.27 
33/35; (H7, C2); 188;  0.019; 0; 0, 3857717.27 
34/35; (H1, CU); 188;  0.020; 0; 0, 3857717.27 
35/35; (HU, C2); 188;  4.122; 94; 0, 3857717.27 
