0/35, ---; 1;  0.056; 1; 1
1/35; (H4, C3); 2;  0.154; 1; 1, 43709.62 
2/35; (H5, C3); 4;  0.281; 2; 2, 43709.62 
3/35; (H4, C5); 8;  1.506; 4; 3, 43709.62 
4/35; (H5, C5); 14;  3.135; 7; 3, 43709.62 
5/35; (H5, C2); 20;  4.058; 10; 9, 43444.91 
6/35; (HU, C4); 38;  7.842; 19; 0, 43444.91 
7/35; (H1, C2); 38;  6.770; 19; 9, 43444.91 
8/35; (H3, CU); 56;  10.432; 28; 12, 43444.91 
9/35; (HU, C1); 80;  11.842; 40; 0, 43444.91 
10/35; (H1, C5); 80;  17.397; 40; 5, 43444.91 
11/35; (H2, CU); 90;  14.166; 45; 14, 43444.91 
12/35; (HU, C2); 118;  20.068; 59; 0, 43444.91 
13/35; (H3, C1); 118;  21.059; 59; 31, 43444.91 
14/35; (H3, C2); 180;  23.659; 90; 35, 43360.13 
15/35; (HU, C3); 250;  42.687; 125; 0, 43360.13 
16/35; (HU, C5); 250;  35.004; 125; 0, 43360.13 
17/35; (H2, C1); 250;  29.723; 125; 33, 43360.13 
18/35; (H2, C2); 316;  45.024; 158; 34, 43360.13 
19/35; (H3, C4); 384;  38.493; 192; 51, 43360.13 
20/35; (H2, C4); 486;  36.893; 243; 58, 43329.87 
21/35; (H4, C1); 602;  48.404; 301; 43, 43329.87 
22/35; (H1, CU); 688;  57.194; 344; 119, 43329.87 
23/35; (H1, C3); 926;  69.471; 463; 120, 43324.48 
24/35; (H1, C4); 1166;  57.303; 583; 172, 43324.48 
25/35; (H4, C4); 1510;  37.928; 755; 150, 43324.48 
26/35; (H1, C1); 1810;  28.355; 654; 37, 43324.48 
27/35; (H5, C4); 1884;  30.294; 710; 70, 43324.48 
28/35; (H2, C5); 2024;  41.627; 1012; 313, 43324.48 
29/35; (H3, C5); 2650;  27.142; 725; 30, 43324.48 
30/35; (H2, C3); 2710;  41.518; 1144; 96, 43324.48 
31/35; (H3, C3); 2902;  47.971; 1324; 2, 43324.48 
32/35; (H5, C1); 2906;  39.779; 1058; 43, 43324.48 
33/35; (H4, C2); 2992;  33.925; 972; 5, 43324.48 
34/35; (H4, CU); 3002;  51.806; 1501; 0, 43324.48 
35/35; (H5, CU); 3002;  42.293; 1235; 0, 43324.48 
